date,mean_indoor_temperature,mean_indoor_heat_index,mean_indoor_relative_humidity,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-06-03,75,74,38.7,73,71,2,3
2019-06-20,81.9,83.1,50.8,84.3,85.9,-2.3999999999999915,-2.8000000000000114
2019-06-21,81.6,82.7,51.3,76.9,76.7,4.699999999999989,6
2019-06-22,79.7,79.9,45.6,75.5,74.4,4.200000000000003,5.5
2019-06-23,80.4,80.9,48.2,77.3,76.1,3.1000000000000085,4.800000000000011
2019-06-24,80.3,80.8,47.4,79,81.5,1.2999999999999972,-0.7000000000000028
2019-06-25,81.2,81.8,48.4,82,83.2,-0.7999999999999972,-1.4000000000000057
2019-06-26,82,82.9,49.1,83.2,83.5,-1.2000000000000028,-0.5999999999999943
2019-06-27,81.7,82,45.6,85.2,87.2,-3.5,-5.200000000000003
2019-06-28,82.6,83.4,48.9,84.1,86.8,-1.5,-3.3999999999999915
2019-06-29,81.4,81.5,44.8,84.1,86.7,-2.6999999999999886,-5.200000000000003
2019-06-30,81.6,82,46.4,82.9,82.5,-1.3000000000000114,-0.5
2019-07-01,82.1,82.5,45.7,77.8,77.3,4.299999999999997,5.200000000000003
2019-07-02,81.4,81.5,45,81.8,83.4,-0.3999999999999915,-1.9000000000000057
2019-07-03,81.4,81.7,46.4,82.7,86.1,-1.2999999999999972,-4.3999999999999915
2019-07-04,79.7,79.8,44.6,81.9,86.6,-2.200000000000003,-6.799999999999997
2019-07-05,81.2,82.1,49.9,83.3,89.2,-2.0999999999999943,-7.1000000000000085
2019-07-06,82.7,83.8,50.1,84.9,90.6,-2.200000000000003,-6.799999999999997
2019-07-07,81.3,81.9,47.9,79.8,83.5,1.5,-1.5999999999999943
2019-07-08,80.3,81.1,50.4,75.2,76,5.099999999999994,5.099999999999994
2019-07-09,81,82.4,55.1,78.9,80.8,2.0999999999999943,1.6000000000000085
2019-07-10,80.4,81,48.4,81.2,83.1,-0.7999999999999972,-2.0999999999999943
2019-07-11,80.4,81.5,52.2,79.4,83.2,1,-1.7000000000000028
2019-07-12,80,81.1,52.8,81.7,83.2,-1.7000000000000028,-2.1000000000000085
2019-07-13,81.1,82.1,51.9,83.4,84.2,-2.3000000000000114,-2.1000000000000085
2019-07-14,82.1,83.3,51.2,85.4,87.4,-3.3000000000000114,-4.1000000000000085
2019-07-15,82.4,83.1,48.9,82.3,83.3,0.10000000000000853,-0.20000000000000284
2019-07-16,82.9,84.3,51.7,85.8,90.7,-2.8999999999999915,-6.400000000000006
2019-07-17,83.3,84.7,51.5,85.7,91.6,-2.4000000000000057,-6.8999999999999915
2019-07-18,83,84.1,51.4,85.4,92.2,-2.4000000000000057,-8.100000000000009
2019-07-19,84.2,85.7,51,90.1,97.5,-5.8999999999999915,-11.799999999999997
2019-07-20,86.8,89.8,51.6,91.5,100.1,-4.700000000000003,-10.299999999999997
2019-07-21,86.8,89.4,50.6,90.9,99,-4.1000000000000085,-9.599999999999994
2019-07-22,85.9,87.1,47.4,84.6,88.6,1.3000000000000114,-1.5
2019-07-23,81.9,82,44.4,74.2,74.6,7.700000000000003,7.400000000000006
2019-07-24,79.4,79.6,47.7,77.5,77.5,1.9000000000000057,2.0999999999999943
2019-07-25,81,81.2,46.9,78.8,78.5,2.200000000000003,2.700000000000003
2019-07-26,79.1,79.3,44.7,81.5,80.8,-2.4000000000000057,-1.5
2019-07-27,79.2,79.2,44.6,82.9,83.7,-3.700000000000003,-4.5
2019-07-28,83.1,84.3,49,84.7,86,-1.6000000000000085,-1.7000000000000028
2019-07-29,82.3,82.4,45.1,85.5,88.7,-3.200000000000003,-6.299999999999997
2019-07-30,83,83.5,47.4,87.4,90.5,-4.400000000000006,-7
2019-07-31,83.6,84.3,47.7,80.2,82.1,3.3999999999999915,2.200000000000003
